web-scraper-order;address_raw;datetime;rooms;area;luxurious;price;price_per_m2;lat;lon;bfs_number;bfs_name;pop;pop_dens;frg_pct;emp;tax_income;dist_supermarket
1662023807-1317;Hätzlergasse 28, 8048 Zürich, ZH;17.09.2022 11:44;1.5;40;0;1525;38.12;47.39047623;8.468478203;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;264.844568
1662023701-483;8048 Zürich, ZH;17.09.2022 11:44;3.5;110;0;2880;26.18;47.38191605;8.482671738;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;668.4729887
1662023810-1322;8001 Zürich, ZH;17.09.2022 11:44;5;80;0;2900;36.25;47.36893463;8.541392326;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;7.371820841
1662023795-1221;Carmenstrasse 16, 8032 Zürich, ZH;17.09.2022 11:44;3.5;82;0;3550;43.29;47.36975479;8.56103611;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;215.6121059
1662023801-1263;Forsterstrasse, 8044 Zürich, ZH;17.09.2022 11:44;4;120;0;3280;27.33;47.38007736;8.564464569;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;385.1062714
1662023727-676;Im Trichtisal 7, 8053 Zürich, ZH;17.09.2022 11:44;3;79;0;2760;34.94;47.3551178;8.603344917;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;862.765083
1662023780-1096;Staffelstrasse 13, 8045 Zürich, ZH;17.09.2022 11:44;3.5;110;0;5170;47;47.36064529;8.520667076;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;341.3301121
1662023733-742;Giessereistrasse 12, 8005 Zürich, ZH;17.09.2022 11:44;2.5;282;0;7500;26.6;47.39022064;8.518072128;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;56.84227615
1662023707-529;Rebgasse 8, 8004 Zürich, ZH;17.09.2022 11:44;2.5;57;0;3540;62.11;47.3741684;8.530760765;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;98.99866056
1662023733-734;Fellenbergstrasse 319, 8047 Zürich, ZH;17.09.2022 11:44;3.5;72;0;2190;30.42;47.37513351;8.487833023;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;104.3931188
1662023723-662;Bucheggstrasse 157, 8057 Zürich, ZH;17.09.2022 11:44;2.5;52;0;2840;54.62;47.39902115;8.540755272;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;367.1124804
1662023795-1220;Grimselstrasse 19, 8048 Zürich, ZH;17.09.2022 11:44;2;47;0;1414;30.09;47.38568497;8.489228249;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;193.1990483
1662023813-1364;Viktoriastrasse 29, 8057 Zürich, ZH;17.09.2022 11:44;1.5;23;0;1552;67.48;47.40406799;8.550452232;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;191.0680994
1662023736-764;Gladbachstr. 120, 8044 Zürich, ZH;17.09.2022 11:44;3;74;0;2422;32.73;47.37733841;8.55854702;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;129.4284248
1662023793-1195;Schaffhauserstrasse 456, 8052 Zürich, ZH;17.09.2022 11:44;4.5;126;0;3380;26.83;47.41805267;8.546833038;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;196.759057
1662023752-879;Badenerstrasse  250, 8004 Zürich, ZH;17.09.2022 11:44;2.5;58;0;2900;50;47.37598801;8.516037941;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;108.2571857
